product_pair,co_occurrence_count
"('5769ef0a239114ac3a854af00df129e4', '5769ef0a239114ac3a854af00df129e4')",28
"('d5991653e037ccb7af6ed7d94246b249', 'd5991653e037ccb7af6ed7d94246b249')",21
"('e7cc48a9daff5436f63d3aad9426f28b', 'e7cc48a9daff5436f63d3aad9426f28b')",17
"('078e8db43688ea060cf754e7bd2b92e7', '96d1c06692244e2fed6e1f9aa9552770')",16
"('994ab76f0da3349fffcfe5d598e9babb', '994ab76f0da3349fffcfe5d598e9babb')",16
"('4deb009c36a910076a023947a7929201', '4deb009c36a910076a023947a7929201')",15
"('5a6e53c3b4e8684b13388d6aa4afdf12', '5a6e53c3b4e8684b13388d6aa4afdf12')",15
"('d2bea3c01e172037caa99b2d138f39d0', 'd2bea3c01e172037caa99b2d138f39d0')",15
"('19fee5d5b066841b45bc3e97832fa654', '19fee5d5b066841b45bc3e97832fa654')",15
"('cc5c6bf704a4b642e8964b5b2dcdb0da', 'cc5c6bf704a4b642e8964b5b2dcdb0da')",15
"('e6c30d6c9696ee10542e7e25dcdffa92', 'e6c30d6c9696ee10542e7e25dcdffa92')",15
"('22594ba8fd9a72ad95d352929c821560', '22594ba8fd9a72ad95d352929c821560')",15
"('962a6951154f98f2c8e9a5b8b2bcf4a9', '962a6951154f98f2c8e9a5b8b2bcf4a9')",15
"('aeb767ca82c5a6cca8bbac33c4e21579', 'aeb767ca82c5a6cca8bbac33c4e21579')",15
"('8ed094bfe076c568f6bb10feada3f75d', '8ed094bfe076c568f6bb10feada3f75d')",15
"('acc444eb5ad26f79d5a11baa6a03c439', 'acc444eb5ad26f79d5a11baa6a03c439')",15
"('5d6bea33648f018dbb563f3a2fab09f3', '5d6bea33648f018dbb563f3a2fab09f3')",15
"('6a1234a3847f4ef3090a02a8b07fa42f', '6a1234a3847f4ef3090a02a8b07fa42f')",15
"('b532349fe46b38fbc7bb3914c1bdae07', 'b532349fe46b38fbc7bb3914c1bdae07')",12
"('b114bf337c0626166abe574eee9e3f32', 'b114bf337c0626166abe574eee9e3f32')",12
